_index,_id,_version,_score,_source.agent.name,_source.agent.id,_source.manager.name,_source.data.file,_source.data.title,_source.rule.firedtimes,_source.rule.mail,_source.rule.level,_source.rule.pci_dss,_source.rule.description,_source.rule.groups,_source.rule.id,_source.rule.gdpr,_source.decoder.name,_source.full_log,_source.input.type,_source.@timestamp,_source.location,_source.id,_source.timestamp,_source.data.sca.scan_id,_source.data.sca.check.result,_source.data.sca.check.remediation,_source.data.sca.check.references,_source.data.sca.check.compliance.pci_dss_v4.0,_source.data.sca.check.compliance.cis_csc_v8,_source.data.sca.check.compliance.soc_2,_source.data.sca.check.compliance.pci_dss_v3.2.1,_source.data.sca.check.compliance.hipaa,_source.data.sca.check.compliance.nist_sp_800-53,_source.data.sca.check.compliance.mitre_tactics,_source.data.sca.check.compliance.mitre_techniques,_source.data.sca.check.compliance.cis,_source.data.sca.check.compliance.cmmc_v2.0,_source.data.sca.check.compliance.cis_csc_v7,_source.data.sca.check.compliance.mitre_mitigations,_source.data.sca.check.description,_source.data.sca.check.id,_source.data.sca.check.title,_source.data.sca.check.rationale,_source.data.sca.check.command,_source.data.sca.type,_source.data.sca.policy,_source.rule.cis_csc_v8,_source.rule.tsc,_source.rule.hipaa,_source.rule.nist_sp_800-53,_source.rule.mitre_tactics,_source.rule.mitre_techniques,_source.rule.cis,_source.rule.nist_800_53,_source.rule.mitre_mitigations,_source.rule.soc_2,_source.rule.cis_csc_v7,_source.data.sca.check.file,_source.data.sca.check.reason,_source.data.sca.check.compliance.pci_dss_4.0,_source.data.sca.check.compliance.pci_dss_3.2.1,_source.data.sca.check.directory,_source.data.dpkg_status,_source.data.package,_source.data.arch,_source.data.version,_source.rule.gpg13,_source.predecoder.hostname,_source.predecoder.program_name,_source.predecoder.timestamp,_source.agent.ip,_source.data.uid,_source.data.dstuser,_source.rule.mitre.technique,_source.rule.mitre.id,_source.rule.mitre.tactic,_source.decoder.parent,_source.data.srcuser,_source.data.tty,_source.data.pwd,_source.data.command,_source.decoder.ftscomment,_source.data.srcip,_source.data.srcport,_source.data.sca.score,_source.data.sca.total_checks,_source.data.sca.file,_source.data.sca.policy_id,_source.data.sca.invalid,_source.data.sca.description,_source.data.sca.passed,_source.data.sca.failed,_source.data.extra_data,_source.data.sca.check.previous_result,_source.syscheck.size_before,_source.syscheck.uname_after,_source.syscheck.mtime_after,_source.syscheck.size_after,_source.syscheck.gid_after,_source.syscheck.md5_before,_source.syscheck.sha256_before,_source.syscheck.mtime_before,_source.syscheck.mode,_source.syscheck.path,_source.syscheck.sha1_after,_source.syscheck.changed_attributes,_source.syscheck.gname_after,_source.syscheck.uid_after,_source.syscheck.perm_after,_source.syscheck.event,_source.syscheck.md5_after,_source.syscheck.sha1_before,_source.syscheck.sha256_after,_source.syscheck.inode_after,_source.syscheck.inode_before,_source.data.status,_source.data.protocol,_source.data.id,_source.data.url,_source.data.gid,_source.data.shell,_source.data.home
wazuh-alerts-4.x-2023.10.01,NpG26IoBagxmxR-sfnEo,1,1,ubuntu,0,ubuntu,/bin/diff,Trojaned version of file detected.,1,FALSE,7,"[""10.6.1""]",Host-based anomaly detection event (rootcheck).,"[""ossec"",""rootcheck""]",510,"[""IV_35.7.d""]",rootcheck,Trojaned version of file '/bin/diff' detected. Signature used: 'bash|^/bin/sh|file\.h|proc\.h|/dev/[^n]|^/bin/.*sh' (Generic).,log,"Oct 1, 2023 @ 00:49:18.889",rootcheck,1696121358,"Oct 1, 2023 @ 00:49:18.889", , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
wazuh-alerts-4.x-2023.10.01,OZG26IoBagxmxR-sfnE7,1,1,ubuntu,0,ubuntu, , ,2,FALSE,7,"[""2.2""]",CIS Ubuntu Linux 22.04 LTS Benchmark v1.0.0: Ensure nodev option set on /tmp partition.,"[""sca""]",19007,"[""IV_35.7.d""]",sca, ,log,"Oct 1, 2023 @ 00:49:29.255",sca,1696121370,"Oct 1, 2023 @ 00:49:29.255",38066666,failed,"Edit the /etc/fstab file and add nodev to the fourth field (mounting options) for the /tmp partition. Example: <device> /tmp <fstype> defaults,rw,nosuid,nodev,noexec,relatime 0 0 Run the following command to remount /tmp with the configured options: # mount -o remount /tmp.",See the fstab(5) manual page for more information.,"1.3.1,7.1",3.3,"CC5.2,CC6.1","7.1,7.1.1,7.1.2,7.1.3","164.308(a)(3)(i),164.308(a)(3)(ii)(A),164.312(a)(1)","AC-5,AC-6",TA0005,T1200,1.1.2.2,"AC.L1-3.1.1,AC.L1-3.1.2,AC.L2-3.1.5,AC.L2-3.1.3,MP.L2-3.8.2",14.6,M1022,The nodev mount option specifies that the filesystem cannot contain special devices.,28501,Ensure nodev option set on /tmp partition.,"Since the /tmp filesystem is not intended to support devices, set this option to ensure that users cannot create a block or character special devices in /tmp.","[""findmnt --kernel /tmp""]",check,CIS Ubuntu Linux 22.04 LTS Benchmark v1.0.0,"[""3.3""]","[""CC7.1"",""CC7.2""]","[""164.308(a)(3)(i)"",""164.308(a)(3)(ii)(A)"",""164.312(a)(1)""]","[""AC-5"",""AC-6""]","[""TA0005""]","[""T1200""]","[""1.1.2.2""]","[""CM.1""]","[""M1022""]","[""CC5.2"",""CC6.1""]","[""14.6""]", , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
wazuh-alerts-4.x-2023.10.01,O5G26IoBagxmxR-sfnE7,1,1,ubuntu,0,ubuntu, , ,4,FALSE,7,"[""2.2""]",CIS Ubuntu Linux 22.04 LTS Benchmark v1.0.0: Ensure nosuid option set on /tmp partition.,"[""sca""]",19007,"[""IV_35.7.d""]",sca, ,log,"Oct 1, 2023 @ 00:49:29.276",sca,1696121369,"Oct 1, 2023 @ 00:49:29.276",38066666,failed,"Edit the /etc/fstab file and add nosuid to the fourth field (mounting options) for the /tmp partition. Example: <device> /tmp <fstype> defaults,rw,nosuid,nodev,noexec,relatime 0 0 Run the following command to remount /tmp with the configured options: # mount -o remount /tmp.",See the fstab(5) manual page for more information.,"1.3.1,7.1",3.3,"CC5.2,CC6.1","7.1,7.1.1,7.1.2,7.1.3","164.308(a)(3)(i),164.308(a)(3)(ii)(A),164.312(a)(1)","AC-5,AC-6",TA0005,"T1548,T1548.001",1.1.2.4,"AC.L1-3.1.1,AC.L1-3.1.2,AC.L2-3.1.5,AC.L2-3.1.3,MP.L2-3.8.2",14.6,M1022,The nosuid mount option specifies that the filesystem cannot contain setuid files.,28503,Ensure nosuid option set on /tmp partition.,"Since the /tmp filesystem is only intended for temporary file storage, set this option to ensure that users cannot create setuid files in /tmp.","[""findmnt --kernel /tmp""]",check,CIS Ubuntu Linux 22.04 LTS Benchmark v1.0.0,"[""3.3""]","[""CC7.1"",""CC7.2""]","[""164.308(a)(3)(i)"",""164.308(a)(3)(ii)(A)"",""164.312(a)(1)""]","[""AC-5"",""AC-6""]","[""TA0005""]","[""T1548"",""T1548.001""]","[""1.1.2.4""]","[""CM.1""]","[""M1022""]","[""CC5.2"",""CC6.1""]","[""14.6""]", , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
wazuh-alerts-4.x-2023.10.01,PZG26IoBagxmxR-sfnE7,1,1,ubuntu,0,ubuntu, , ,6,FALSE,7,"[""2.2""]",CIS Ubuntu Linux 22.04 LTS Benchmark v1.0.0: Ensure nodev option set on /var partition.,"[""sca""]",19007,"[""IV_35.7.d""]",sca, ,log,"Oct 1, 2023 @ 00:49:29.299",sca,1696121369,"Oct 1, 2023 @ 00:49:29.299",38066666,failed,"IF the /var partition exists, edit the /etc/fstab file and add nodev to the fourth field (mounting options) for the /var partition. Example: <device> /var <fstype> defaults,rw,nosuid,nodev,relatime 0 0 Run the following command to remount /var with the configured options: # mount -o remount /var.",See the fstab(5) manual page for more information.,"1.3.1,7.1",3.3,"CC5.2,CC6.1","7.1,7.1.1,7.1.2,7.1.3","164.308(a)(3)(i),164.308(a)(3)(ii)(A),164.312(a)(1)","AC-5,AC-6",TA0005,T1200,1.1.3.2,"AC.L1-3.1.1,AC.L1-3.1.2,AC.L2-3.1.5,AC.L2-3.1.3,MP.L2-3.8.2",14.6,M1038,The nodev mount option specifies that the filesystem cannot contain special devices.,28505,Ensure nodev option set on /var partition.,"Since the /var filesystem is not intended to support devices, set this option to ensure that users cannot create a block or character special devices in /var.","[""findmnt --kernel /var""]",check,CIS Ubuntu Linux 22.04 LTS Benchmark v1.0.0,"[""3.3""]","[""CC7.1"",""CC7.2""]","[""164.308(a)(3)(i)"",""164.308(a)(3)(ii)(A)"",""164.312(a)(1)""]","[""AC-5"",""AC-6""]","[""TA0005""]","[""T1200""]","[""1.1.3.2""]","[""CM.1""]","[""M1038""]","[""CC5.2"",""CC6.1""]","[""14.6""]", , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
wazuh-alerts-4.x-2023.10.01,PpG26IoBagxmxR-sfnE7,1,1,ubuntu,0,ubuntu, , ,7,FALSE,7,"[""2.2""]",CIS Ubuntu Linux 22.04 LTS Benchmark v1.0.0: Ensure nosuid option set on /var partition.,"[""sca""]",19007,"[""IV_35.7.d""]",sca, ,log,"Oct 1, 2023 @ 00:49:29.308",sca,1696121369,"Oct 1, 2023 @ 00:49:29.308",38066666,failed,"IF the /var partition exists, edit the /etc/fstab file and add nosuid to the fourth field (mounting options) for the /var partition. Example: <device> /var <fstype> defaults,rw,nosuid,nodev,relatime 0 0 Run the following command to remount /var with the configured options: # mount -o remount /var.",See the fstab(5) manual page for more information.,"1.3.1,7.1",3.3,"CC5.2,CC6.1","7.1,7.1.1,7.1.2,7.1.3","164.308(a)(3)(i),164.308(a)(3)(ii)(A),164.312(a)(1)","AC-5,AC-6",TA0005,"T1548,T1548.001",1.1.3.3,"AC.L1-3.1.1,AC.L1-3.1.2,AC.L2-3.1.5,AC.L2-3.1.3,MP.L2-3.8.2",14.6,M1038,The nosuid mount option specifies that the filesystem cannot contain setuid files.,28506,Ensure nosuid option set on /var partition.,"Since the /var filesystem is only intended for variable files such as logs, set this option to ensure that users cannot create setuid files in /var.","[""findmnt --kernel /var""]",check,CIS Ubuntu Linux 22.04 LTS Benchmark v1.0.0,"[""3.3""]","[""CC7.1"",""CC7.2""]","[""164.308(a)(3)(i)"",""164.308(a)(3)(ii)(A)"",""164.312(a)(1)""]","[""AC-5"",""AC-6""]","[""TA0005""]","[""T1548"",""T1548.001""]","[""1.1.3.3""]","[""CM.1""]","[""M1038""]","[""CC5.2"",""CC6.1""]","[""14.6""]", , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
wazuh-alerts-4.x-2023.10.01,QZG26IoBagxmxR-sfnE7,1,1,ubuntu,0,ubuntu, , ,10,FALSE,7,"[""2.2""]",CIS Ubuntu Linux 22.04 LTS Benchmark v1.0.0: Ensure nosuid option set on /var/tmp partition.,"[""sca""]",19007,"[""IV_35.7.d""]",sca, ,log,"Oct 1, 2023 @ 00:49:29.339",sca,1696121369,"Oct 1, 2023 @ 00:49:29.339",38066666,failed,"IF the /var/tmp partition exists, edit the /etc/fstab file and add nosuid to the fourth field (mounting options) for the /var/tmp partition. Example: <device> /var/tmp 0 <fstype> defaults,rw,nosuid,nodev,noexec,relatime 0 Run the following command to remount /var/tmp with the configured options: # mount -o remount /var/tmp.",See the fstab(5) manual page for more information.,"1.3.1,7.1",3.3,"CC5.2,CC6.1","7.1,7.1.1,7.1.2,7.1.3","164.308(a)(3)(i),164.308(a)(3)(ii)(A),164.312(a)(1)","AC-5,AC-6",TA0005,"T1548,T1548.001",1.1.4.3,"AC.L1-3.1.1,AC.L1-3.1.2,AC.L2-3.1.5,AC.L2-3.1.3,MP.L2-3.8.2",14.6,M1022,The nosuid mount option specifies that the filesystem cannot contain setuid files.,28509,Ensure nosuid option set on /var/tmp partition.,"Since the /var/tmp filesystem is only intended for temporary file storage, set this option to ensure that users cannot create setuid files in /var/tmp.","[""findmnt --kernel /var/tmp""]",check,CIS Ubuntu Linux 22.04 LTS Benchmark v1.0.0,"[""3.3""]","[""CC7.1"",""CC7.2""]","[""164.308(a)(3)(i)"",""164.308(a)(3)(ii)(A)"",""164.312(a)(1)""]","[""AC-5"",""AC-6""]","[""TA0005""]","[""T1548"",""T1548.001""]","[""1.1.4.3""]","[""CM.1""]","[""M1022""]","[""CC5.2"",""CC6.1""]","[""14.6""]", , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
wazuh-alerts-4.x-2023.10.01,Q5G26IoBagxmxR-sfnE7,1,1,ubuntu,0,ubuntu, , ,12,FALSE,7,"[""2.2""]",CIS Ubuntu Linux 22.04 LTS Benchmark v1.0.0: Ensure separate partition exists for /var/log.,"[""sca""]",19007,"[""IV_35.7.d""]",sca, ,log,"Oct 1, 2023 @ 00:49:29.361",sca,1696121369,"Oct 1, 2023 @ 00:49:29.361",38066666,failed,"For new installations, during installation create a custom partition setup and specify a separate partition for /var/log . For systems that were previously installed, create a new partition and configure /etc/fstab as appropriate.",http://tldp.org/HOWTO/LVM-HOWTO/, ,8.3,A1.1,10.7, , ,TA0005,"T1499,T1499.001",1.1.5.1, ,6.4,M1022,The /var/log directory is used by system services to store log data.,28511,Ensure separate partition exists for /var/log.,"The reasoning for mounting /var/log on a separate partition is as follow. Protection from resource exhaustion The default installation only creates a single / partition. Since the /var/log directory contain the log files that can grow quite large, there is a risk of resource exhaustion. It will essentially have the whole disk available to fill up and impact the system as a whole. Fine grained control over the mount Configuring /var/log as its own file system allows an administrator to set additional mount options such as noexec/nosuid/nodev. These options limits an attackers ability to create exploits on the system. Other options allow for specific behavior. See man mount for exact details regarding filesystem-independent and filesystem-specific options. Protection of log data As /var/log contains log files, care should be taken to ensure the security and integrity of the data and mount point.","[""findmnt --kernel /var/log""]",check,CIS Ubuntu Linux 22.04 LTS Benchmark v1.0.0,"[""8.3""]","[""CC7.1"",""CC7.2""]", , ,"[""TA0005""]","[""T1499"",""T1499.001""]","[""1.1.5.1""]","[""CM.1""]","[""M1022""]","[""A1.1""]","[""6.4""]", , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
wazuh-alerts-4.x-2023.10.01,RJG26IoBagxmxR-sfnE7,1,1,ubuntu,0,ubuntu, , ,13,FALSE,7,"[""2.2""]",CIS Ubuntu Linux 22.04 LTS Benchmark v1.0.0: Ensure nodev option set on /var/log partition.,"[""sca""]",19007,"[""IV_35.7.d""]",sca, ,log,"Oct 1, 2023 @ 00:49:29.372",sca,1696121369,"Oct 1, 2023 @ 00:49:29.372",38066666,failed,"IF the /var/log partition exists, edit the /etc/fstab file and add nodev to the fourth field (mounting options) for the /var/log partition. Example: <device> /var/log <fstype> defaults,rw,nosuid,nodev,noexec,relatime 0 0 Run the following command to remount /var/log with the configured options: # mount -o remount /var/log.",See the fstab(5) manual page for more information.,"1.3.1,7.1",3.3,"CC5.2,CC6.1","7.1,7.1.1,7.1.2,7.1.3","164.308(a)(3)(i),164.308(a)(3)(ii)(A),164.312(a)(1)","AC-5,AC-6",TA0005,T1200,1.1.5.2,"AC.L1-3.1.1,AC.L1-3.1.2,AC.L2-3.1.5,AC.L2-3.1.3,MP.L2-3.8.2",14.6,M1022,The nodev mount option specifies that the filesystem cannot contain special devices.,28512,Ensure nodev option set on /var/log partition.,"Since the /var/log filesystem is not intended to support devices, set this option to ensure that users cannot create a block or character special devices in /var/log.","[""findmnt --kernel /var/log""]",check,CIS Ubuntu Linux 22.04 LTS Benchmark v1.0.0,"[""3.3""]","[""CC7.1"",""CC7.2""]","[""164.308(a)(3)(i)"",""164.308(a)(3)(ii)(A)"",""164.312(a)(1)""]","[""AC-5"",""AC-6""]","[""TA0005""]","[""T1200""]","[""1.1.5.2""]","[""CM.1""]","[""M1022""]","[""CC5.2"",""CC6.1""]","[""14.6""]", , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
wazuh-alerts-4.x-2023.10.01,RZG26IoBagxmxR-sfnE7,1,1,ubuntu,0,ubuntu, , ,14,FALSE,7,"[""2.2""]",CIS Ubuntu Linux 22.04 LTS Benchmark v1.0.0: Ensure noexec option set on /var/log partition.,"[""sca""]",19007,"[""IV_35.7.d""]",sca, ,log,"Oct 1, 2023 @ 00:49:29.382",sca,1696121369,"Oct 1, 2023 @ 00:49:29.382",38066666,failed,"IF the /var/log partition exists, edit the /etc/fstab file and add noexec to the fourth field (mounting options) for the /var/log partition. Example: <device> /var/log <fstype> defaults,rw,nosuid,nodev,noexec,relatime 0 0 Run the following command to remount /var/log with the configured options: # mount -o remount /var/log.",See the fstab(5) manual page for more information.,"1.3.1,7.1",3.3,"CC5.2,CC6.1","7.1,7.1.1,7.1.2,7.1.3","164.308(a)(3)(i),164.308(a)(3)(ii)(A),164.312(a)(1)","AC-5,AC-6",TA0005,"T1204,T1204.002",1.1.5.3,"AC.L1-3.1.1,AC.L1-3.1.2,AC.L2-3.1.5,AC.L2-3.1.3,MP.L2-3.8.2",14.6,M1022,The noexec mount option specifies that the filesystem cannot contain executable binaries.,28513,Ensure noexec option set on /var/log partition.,"Since the /var/log filesystem is only intended for log files, set this option to ensure that users cannot run executable binaries from /var/log.","[""findmnt --kernel /var/log""]",check,CIS Ubuntu Linux 22.04 LTS Benchmark v1.0.0,"[""3.3""]","[""CC7.1"",""CC7.2""]","[""164.308(a)(3)(i)"",""164.308(a)(3)(ii)(A)"",""164.312(a)(1)""]","[""AC-5"",""AC-6""]","[""TA0005""]","[""T1204"",""T1204.002""]","[""1.1.5.3""]","[""CM.1""]","[""M1022""]","[""CC5.2"",""CC6.1""]","[""14.6""]", , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
wazuh-alerts-4.x-2023.10.01,RpG26IoBagxmxR-sfnE7,1,1,ubuntu,0,ubuntu, , ,15,FALSE,7,"[""2.2""]",CIS Ubuntu Linux 22.04 LTS Benchmark v1.0.0: Ensure nosuid option set on /var/log partition.,"[""sca""]",19007,"[""IV_35.7.d""]",sca, ,log,"Oct 1, 2023 @ 00:49:29.392",sca,1696121370,"Oct 1, 2023 @ 00:49:29.392",38066666,failed,"IF the /var/log partition exists, edit the /etc/fstab file and add nosuid to the fourth field (mounting options) for the /var/log partition. Example: <device> /var/log <fstype> defaults,rw,nosuid,nodev,noexec,relatime 0 0 Run the following command to remount /var/log with the configured options: # mount -o remount /var/log.",See the fstab(5) manual page for more information.,"1.3.1,7.1",3.3,"CC5.2,CC6.1","7.1,7.1.1,7.1.2,7.1.3","164.308(a)(3)(i),164.308(a)(3)(ii)(A),164.312(a)(1)","AC-5,AC-6",TA0005,"T1548,T1548.001",1.1.5.4,"AC.L1-3.1.1,AC.L1-3.1.2,AC.L2-3.1.5,AC.L2-3.1.3,MP.L2-3.8.2",14.6,M1022,The nosuid mount option specifies that the filesystem cannot contain setuid files.,28514,Ensure nosuid option set on /var/log partition.,"Since the /var/log filesystem is only intended for log files, set this option to ensure that users cannot create setuid files in /var/log.","[""findmnt --kernel /var/log""]",check,CIS Ubuntu Linux 22.04 LTS Benchmark v1.0.0,"[""3.3""]","[""CC7.1"",""CC7.2""]","[""164.308(a)(3)(i)"",""164.308(a)(3)(ii)(A)"",""164.312(a)(1)""]","[""AC-5"",""AC-6""]","[""TA0005""]","[""T1548"",""T1548.001""]","[""1.1.5.4""]","[""CM.1""]","[""M1022""]","[""CC5.2"",""CC6.1""]","[""14.6""]", , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
