Hash,Type,Family,First_Seen,Name
d898f22ca7b36c18103138227e1d52b8,Win64 DLL,,12/06/2019 22:34,d77bee3ac8b5e9120dc89ec922b40440e39ecb26428e662c533c58a901506a20.sample
f71198ff68979d356d0777f6e6336baa,Win64 DLL,,12/06/2019 22:34,bb4d326e5f6fc24fc9359c255f77b543f74838799a07f5774bed70e3e878d60b.sample
849ab91e93116ae420d2fe2136d24a87,Win64 DLL,winnti,08/07/2019 17:00,7cd17fc948eb5fa398b8554fea036bdb3c0045880e03acbe532f4082c271e3c5.bin
04fb0ccf3ef309b1cd587f609ab0e81e,Win32 EXE,,04/26/2019 17:30,
ee5b707249c562dc916b125e32950c8d,Win64 DLL,,03/28/2019 03:13,PatchWrapPS
650a3dce1380f9194361e0c7be9ffb97,Win64 DLL,winnti,03/28/2019 02:36,PatchWrapPS
64e09cf2894d6e5ac50207edff787ed7,Win64 DLL,,03/27/2019 08:10,PatchWrapPS
ffd0f34739c1568797891b9961111464,Win64 DLL,,03/27/2019 07:49,ma_lockdown_service.dll
7dc6bbc202e039dd989e1e2a93d2ec2d,Win64 DLL,,02/12/2019 06:43,TSMSISrv.DLL
d49c186b1bfd7c9233e5815c2572eb98,Win64 DLL,,02/12/2019 06:37,TSMSISrv.DLL
ff8d92dfbcda572ef97c142017eec658,Win64 DLL,razy,02/12/2019 05:04,TSMSISrv.DLL
a919b4454679ef60b39c82bd686ed141,unknown,,01/15/2019 16:32,F64.data
846cdb921841ac671c86350d494abf9c,Win64 EXE,,01/10/2019 05:38,C64.exe
8d3b3d5b68a1d08485773d70c186d877,ELF executable,,12/04/2018 01:32,mtlserver
b0877494d36fab1f9f4219c3defbfb19,Win64 DLL,razy,11/28/2018 10:10,TSMSISrv.DLL
e42555b218248d1a2ba92c1532ef6786,Win64 EXE,,11/27/2018 11:52,
557ff68798c71652db8a85596a4bab72,Win64 DLL,,11/23/2018 09:32,TSMSISrv.DLL
37e100dd8b2ad8b301b130c2bca3f1ea,Win64 DLL,razy,11/22/2018 14:52,TSMSISrv.DLL
e58d4072c56a5dd3cc5cf768b8f37e5e,unknown,,11/22/2018 13:55,racsvc.dll.mui
48e00515cfad7f1ffb45982a8d190648,Win64 EXE,,10/20/2017 18:19,web1.exe
11c476c7db48f1b02ecc5ae93f63e46d,Win32 EXE,winnti,08/15/2017 12:07,300519fa1af5c36371ab438405eb641f184bd2f491bdf24f04e5ca9b86d1b39c.exe
334cc0be79082859cfb7f3913c761da1,Win32 EXE,winnti,08/14/2017 18:07,config.exe
97363d50a279492fda14cbab53429e75,Win32 DLL,,07/18/2017 03:59,nssock
84d6e4ba1f4268e50810dacc7bbc3935,Text,,09/28/2016 09:40,
ba08b593250c3ca5c13f56e2ca97d85e,Win64 EXE,winnti,09/13/2016 14:02,
830a09ff05eac9a5f42897ba5176a36a,Win32 EXE,,08/21/2016 20:40,BARLAIY-70c03ce5c80aca2d35a5555b0532eedede24d4cc6bdb32a2c8f7e630bba5f26e
5e87b09f9a3f1b728c9797560a38764b,7ZIP,Zxshell,06/19/2015 07:22,=?utf-8?B?5Lit5p2x5ZG85ZC45Zmo55eH5YCZ576kKE1FUlMp44Gu5LqI6ZiyLjd6?=
f8c89ccd8937f2b760e6706738210744,Win64 DLL,winnti,12/01/2014 17:47,C:\Analysis_Baddies_Dirty\InterMune\Winnti Samples\f8c89ccd8937f2b760e6706738210744.f3c222606f890573e6128fbeb389f37bd6f6bda3.primary_analysis_subject
77c60e5d2d99c3f63f2aea1773ed4653,Win64 DLL,winnti,05/17/2012 09:51,7566558469ede04efc665212b45786a730055770f6ea8f924d8c1e324cae8691.vir
7d51ea0230d4692eeedc2d5a4cd66d2d,Win64 EXE,winnti,04/23/2012 10:42,63e8ed9692810d562adb80f27bb1aeaf48849e468bf5fd157bc83ca83139b6d7.bin
36711896cfeb67f599305b590f195aec,Win32 DLL,winnti,04/16/2012 06:22,490c3e4af829e85751a44d21b25de1781cfe4961afdef6bb5759d9451f530994.bin
a0a96138b57ee24eed31b652ddf60d4e,Win32 DLL,winnti,03/23/2012 06:20,79190925bd1c3fae65b0d11db40ac8e61fb9326ccfed9b7e09084b891089602d.bin
659bd19b562059f3f0cc978e15624fd9,unknown,,05/22/2020 18:08,
c0c467c8e9b2046d7053642cc9bdd57d,TXT,,03/09/2020 21:48,56544329
3e856162c36b532925c8226b4ed3481c,Win32 EXE,,03/09/2020 15:02,./KISA_dataset_2020_train/d854f775ab1071eebadc0eb44d8571c387567c233a71d2e26242cd9a80e67309.vir
5909983db4d9023e4098e56361c96a6f,Win64 DLL,,03/09/2020 13:47,./KISA_dataset_2020_train/f91f2a7e1944734371562f18b066f193605e07223aab90bd1e8925e23bbeaa1c.vir
7966c2c546b71e800397a67f942858d0,TXT,,03/09/2020 12:39,de9ef08a148305963accb8a64eb22117916aa42ab0eddf60ccb8850468a194fc.bin
